name,domain,getapp_logo,clearbit_logo,desc,rating,num_reviews,cat,subcat,getapp_cat_link
AB Tasty,abtasty.com,https://ga0.imgix.net/logo/o/91666-4208787452.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/abtasty.com,The easiest testing and optimization solution for data-driven marketers,5.0,3,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
CMO COMPLIANCE™,,https://ga1.imgix.net/logo/o/90631-2969709332.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Save time & improve the quality of data collection, management & reporting",5.0,4,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
Megalytic,megalytic.com,https://ga0.imgix.net/logo/o/102433-1453131729-1006901?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/megalytic.com,Professional web analytics reporting,5.0,4,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
Jaspersoft,,https://ga0.imgix.net/logo/o/90799-1433409846-7822008?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Business Intelligence solution ,4.25,10,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
Piwik PRO,piwik.pro,https://ga1.imgix.net/logo/o/91475-4247852952.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/piwik.pro,Professional analytics services.,4.67,6,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
LiveHive,livehive.com,https://ga0.imgix.net/logo/o/101027-1423599203-277261?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/livehive.com,"Real-time, sales content engagement analytics platform",4.0,11,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
SEO PowerSuite,seo-powersuite.com,https://ga0.imgix.net/logo/o/926-3144008268.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/seo-powersuite.com,Defining the world's standards for SEO software,3.67,24,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
Presynct_OnDemand,presynct.com,https://ga1.imgix.net/logo/o/104935-1499712002-8537138?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Security incident reporting & workflow,4.5,6,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
Simply Measured,simplymeasured.com,https://ga0.imgix.net/logo/o/90965-2188502186.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/simplymeasured.com,"Social Media Analytics, from Data to Deliverables.",4.44,9,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
Float Cash Flow,floatapp.com,https://ga0.imgix.net/logo/o/102653-1455556543-972551?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Intuitive cash flow forecasting for Xero and QBO,4.77,13,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
iAuditor,safetyculture.com,https://ga1.imgix.net/logo/o/102403-1452576788-5342824?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,A mobile checklist inspection app used to conduct audits,4.47,19,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
WebEngage,webengage.com,https://ga1.imgix.net/logo/o/90653-1501235021-222146?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,WebEngage is a multi-channel B2C marketing automation cloud,4.52,21,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
Weekdone,weekdone.com,https://ga0.imgix.net/logo/o/91723-1494335294-875997?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Best team goal setting and tracking software.,4.79,14,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
Jive,jandpositive.org,https://ga0.imgix.net/logo/o/10027-1512976755-132393?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Commmunication & collaboration solutions for your business,3.83,24,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Answerbase,,https://ga0.imgix.net/logo/o/10135-1374768631.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Meet your customers’ and company's information needs,4.78,9,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
LogicMonitor,www.logicmonitor.com,https://ga1.imgix.net/logo/o/91805-1435076638-1882353?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Automated SaaS-based monitoring for your IT infrastructure,4.74,31,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
Nuxeo,nuxeo.com,https://ga0.imgix.net/logo/o/91091-1504809049-0528538?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/nuxeo.com,Modern Content Services Platform for the Enterprise,4.0,22,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Springboard Retail,springboardretail.com,https://ga0.imgix.net/logo/o/101859-1440597518-4577692?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/springboardretail.com,POS and Retail Management Solution,4.59,57,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
ProProfs Knowledge Base,,https://ga1.imgix.net/logo/o/100156-3228848214.jpg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Online FAQ & Knowledge Base Software,4.58,12,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Honey,joinhoney.com,https://ga0.imgix.net/logo/o/101589-1436468920-0485606?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/joinhoney.com,Social Networking and Information Sharing for Enterprises,4.71,14,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
TOPYX,topyx.com,https://ga1.imgix.net/logo/o/9650-1477932468-4758615?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/topyx.com,Learning management system,4.33,15,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
ComAround Knowledge,,https://ga0.imgix.net/logo/o/106941-1491473943-7564201?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Cloud-based knowledge management & self-service tool,4.64,11,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Planio,plan.io,https://ga0.imgix.net/logo/o/8248-1445598046-4529123?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/plan.io,Manage Sofware Projects in One Place,4.56,18,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
ProProfs Training Maker,,https://ga0.imgix.net/logo/o/90880-1741418332.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Build and Test Knowledge,4.41,22,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Igloo Software,igloosoftware.com,https://ga1.imgix.net/logo/o/8279-1442496387-7773852?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/igloosoftware.com,An intranet you'll actually like,4.52,21,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Pixability,pixability.com,https://ga1.imgix.net/logo/o/91519-3787968926.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/pixability.com,YouTube Marketing Software,5.0,1,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/?page=2
IdeaScale,ideascale.com,https://ga1.imgix.net/logo/o/90786-1442857913-4611866?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/ideascale.com,Crowd-based innovation management,4.56,18,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
UserVoice,uservoice.com,https://ga1.imgix.net/logo/o/8292-1524565555-0319552?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/uservoice.com,Build better products with intelligent product feedback,4.14,48,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
MangoApps,mangoapps.com,https://ga0.imgix.net/logo/o/8221-3601408466.jpg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/mangoapps.com,Digital Workplace Solutions Tailored for Your Business,4.21,43,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
XWiki,xwiki.com,https://ga1.imgix.net/logo/o/10289-1484317370-905601?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/xwiki.com,Knowledge Management & Collaborative platform,4.7,23,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Community Cloud,communitycloud.com,https://ga0.imgix.net/logo/o/102377-1452289164-7865925?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/communitycloud.com,"Community software connects customers, partners & employees",4.26,42,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Talisma,talisma.com,https://ga0.imgix.net/logo/o/102203-1448365482-4534779?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/talisma.com,CRM suite with marketing and KB (Knowledge Base) tools,4.33,6,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=4
Yammer,yammer.com,https://ga1.imgix.net/logo/o/10029-1405509667-514835?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/yammer.com,Enterprise Social Network (ESN) to connect and communicate,3.98,80,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
ScribbleLive,scribblelive.com,https://ga0.imgix.net/logo/o/2341-1501756741-7647285?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/scribblelive.com,Content marketing platform for enterprise business,5.0,2,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/?page=2
Property Matrix,www.propertymatrix.com,https://ga1.imgix.net/logo/o/102303-1449687880-7366788?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Property management software,4.7,27,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
Clinked,clinked.com,https://ga0.imgix.net/logo/o/90439-2922535068.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/clinked.com,White-label Client and Team Workspace,4.76,34,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
quintly,quintly.com,https://ga1.imgix.net/logo/o/105079-1473343807-9677591?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/quintly.com,Professional Social Media Analytics,4.5,4,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=4
Planbox Innovate,,https://ga1.imgix.net/logo/o/102023-1445569333-2761343?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Innovation management software,4.9,20,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Yonyx,yonyx.com,https://ga0.imgix.net/logo/o/91207-2583655086.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/yonyx.com,Decision tree driven Interactive guides for customer service,4.88,26,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Etleap,etleap.com,https://ga0.imgix.net/logo/o/109967-1506439209-4972634?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Cloud-based Redshift ETL tool,,0,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/
Vivantio Pro,,https://ga0.imgix.net/logo/o/91516-1406533495-537952?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Flexible, Trusted, Reliable Service Desk Software ",4.28,71,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
HappyFox,happyfox.com,https://ga1.imgix.net/logo/o/90516-1102793797.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/happyfox.com,"Helpdesk, customer support software",4.57,51,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Tagetik,,https://ga0.imgix.net/logo/o/103383-1459879611-4529388?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Cloud-based & on-premise CPM solution for financial planning,4.34,81,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/
RFPIO,rfpio.com,https://ga0.imgix.net/logo/o/103221-1458930491-1790102?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/rfpio.com,RFP/RFI Management,4.96,24,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
ProjectManager.com,www.projectmanager.com,https://ga1.imgix.net/logo/o/91233-1513629819-8502462?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Award-Winning Project Management Software,4.2,209,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/
Microsoft Power BI,,https://ga1.imgix.net/logo/o/102847-1456854578-3107924?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"BI visualization and reporting for desktop, web or mobile",4.25,65,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
Cognos,cognosca.com,https://ga1.imgix.net/logo/o/9919-3173925967.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/cognosca.com,Business intelligence suite,4.1,63,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
Panoply,panoply.io,https://ga0.imgix.net/logo/o/110347-1508222157-992782?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/panoply.io,Data warehousing and transformation,4.0,1,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/
Revel Systems POS,,https://ga1.imgix.net/logo/o/102989-1459202496-6603801?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,The Best iPad Point-of-Sale System,3.62,209,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
Salesforce Social Studio,,https://ga1.imgix.net/logo/o/100173-1412936608-100836?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Salesforce social media listening,4.15,143,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
Attendify,attendify.com,https://ga0.imgix.net/logo/o/91211-1462242207-1422203?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/attendify.com,Event Apps that Engage & Delight,4.81,42,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
QlikView,qlikview.co.za,https://ga0.imgix.net/logo/o/2105-1160915873.jpeg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Guided analytics apps for business insight,4.35,73,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
BOARD,the-board.jp,https://ga1.imgix.net/logo/o/102105-1447768926-8293648?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/the-board.jp,Decision making platform,4.59,81,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
Brightedge,brightedge.com,https://ga1.imgix.net/logo/o/91003-1488444784-8405929?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/brightedge.com,SEO Platform,4.33,12,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
VUE Software,page.vuesoftware.com,https://ga1.imgix.net/logo/o/105657-1481008262-7888014?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Insurance Distribution Platform for Carriers, MGA, IMO, FMO",,0,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
UltiPro,,https://ga1.imgix.net/logo/o/90960-1498743429-8581924?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"HR, Payroll, and Talent Management",3.93,499,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=3
Crimson Hexagon,crimsonhexagon.com,https://ga1.imgix.net/logo/o/102579-1454881458-0163617?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/crimsonhexagon.com,Big data platform for social media analytics and insights,4.86,7,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Salesfusion,salesfusion.com,https://ga1.imgix.net/logo/o/2302-1520021018-575886?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/salesfusion.com,Transform your big ideas into real results.,4.0,22,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Datanyze,datanyze.com,https://ga0.imgix.net/logo/o/91473-3780858684.jpg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/datanyze.com,The Leader in Technographics,4.04,28,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Pentaho,ecoursemaker.com,https://ga1.imgix.net/logo/o/90800-1433841787-2442183?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Data integration & business analytics platform,4.02,25,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Locowise,locowise.com,https://ga1.imgix.net/logo/o/91796-1500900417-7571387?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/locowise.com,The Professional's Social Media Analytics Solution,4.79,14,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Yellowfin,yellowfinbi.com,https://ga1.imgix.net/logo/o/90796-4007756262.jpg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/yellowfinbi.com,Business Intelligence reporting and dashboard platform,4.45,11,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Hootsuite Insights,,https://ga0.imgix.net/logo/o/8264-1485248351-0534723?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Real-time social analytics for brands,4.3,15,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
SAP Analytics Cloud,,https://ga1.imgix.net/logo/o/103177-1458680752-0850825?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Web-based financial planning, BI analytics and collaboration",4.43,23,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Aviso,aviso.ua,https://ga1.imgix.net/logo/o/100399-1412676700-464549?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Sales forecasting and data analysis,4.21,28,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Vidyard,vidyard.com,https://ga0.imgix.net/logo/o/90570-898806635.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/vidyard.com,Business Video Hosting and Analytics,4.5,24,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Panorama Necto,,https://ga0.imgix.net/logo/o/91690-1462445364-3615656?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Smart Data Discovery & Visualization,4.31,43,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Bitrix24,bitrix24.com,https://ga1.imgix.net/logo/o/90602-1440604635-9201205?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/bitrix24.com,"Free collaboration, communication & management tool suite",4.13,139,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Tick,www.tickspot.com,https://ga1.imgix.net/logo/o/108109-1498054576-8217828?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Project time tracking on desktop, web & mobile",4.48,1144,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/
SharePoint,portalfronthosting.com,https://ga0.imgix.net/logo/o/90850-1477932273-042024?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/portalfronthosting.com,Collaboration & content management platform,4.04,689,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
KnowledgeOwl,knowledgeowl.com,https://ga0.imgix.net/logo/o/91819-1471910947-1896584?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/knowledgeowl.com,Knowledge base and documentation software,4.74,201,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Favro,favro.com,https://ga0.imgix.net/logo/o/105441-1490773831-3992746?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/favro.com,All-in-one planning & collaboration app,4.42,186,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
eXo Platform,exoplatform.com,https://ga0.imgix.net/logo/o/91784-1427279119-7368488?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/exoplatform.com,Enterprise digital collaboration software,4.59,102,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
SydneyEnterprise,lucidea.com,https://ga0.imgix.net/logo/o/106367-1486405903-571219?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Integrated library solution & knowledge management platform,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Onna,onna.com,https://ga1.imgix.net/logo/o/106867-1491311658-8060267?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Real-time Discovery Search,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Geenio,geen.io,https://ga1.imgix.net/logo/o/101909-1441117271-279627?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,All-in-one learning management and course authoring software,4.5,2,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
KronoDesk,www.inflectra.com,https://ga0.imgix.net/logo/o/90532-1489435405-40329?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Help, Listen & Solve - Powerful Help Desk Software",3.33,3,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Noodle,vialect.com,https://ga1.imgix.net/logo/o/2318-1455027133-7500916?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Social intranet software platform,4.37,19,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
VisionFlow,one.visionflow.com,https://ga1.imgix.net/logo/o/91658-2187164794.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Product development, ALM, ITSM, Customer Support, Project Management and CRM",4.33,9,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Communifire,info.axerosolutions.com,https://ga1.imgix.net/logo/o/90839-983531881.jpg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Enterprise Social Collaboration Software,4.43,14,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Intranet DASHBOARD,www.intranetdashboard.com,https://ga1.imgix.net/logo/o/107453-1496136385-3123364?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"The All in One Digital Workplace, Intranet & Portal",4.45,11,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Elucidat,www.elucidat.com,https://ga1.imgix.net/logo/o/91245-1447202229-4179487?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Simple authoring tool helps teams accelerate the creation of high quality elearning.,4.73,15,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
ilos,ilosgroup.com,https://ga0.imgix.net/logo/o/103363-1459783708-613257?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Screen recording, video sharing and storing platform",4.5,4,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
SmarterU LMS,www.smarteru.com,https://ga1.imgix.net/logo/o/100833-1430252980-1087074?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,We Solve Training Pain! ,4.79,29,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
SkyPrep,skyprep.com,https://ga0.imgix.net/logo/o/90710-3501789412.jpg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Online Training Done Right,4.75,55,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
SocialChorus,socialchorus.com,https://ga1.imgix.net/logo/o/102011-1508499328-3647044?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/socialchorus.com,Mobile internal communication platform,4.43,40,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
eloomi,eloomi.com,https://ga0.imgix.net/logo/o/107165-1493969119-3737812?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/eloomi.com,Learning management system (LMS) & performance appraisal,4.71,24,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Predictive intelligence,,https://ga1.imgix.net/logo/o/100451-1443715532-6995575?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Predictive intelligence platform for B2B marketing and sales,,0,business-intelligence-analytics-software,predictive-analytics,https://www.getapp.com/business-intelligence-analytics-software/predictive-analytics/?page=2
Planning In A Box,planninginabox.com,https://ga0.imgix.net/logo/o/108749-1500632444-1080441?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/planninginabox.com,Supply chain management with machine learning,,0,business-intelligence-analytics-software,predictive-analytics,https://www.getapp.com/business-intelligence-analytics-software/predictive-analytics/?page=2
KnowledgeSCORE,,https://ga0.imgix.net/logo/o/101539-1432634632-4371653?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Predictive lead and opportunity scoring,,0,business-intelligence-analytics-software,predictive-analytics,https://www.getapp.com/business-intelligence-analytics-software/predictive-analytics/?page=2
Lattice,lattice.com,https://ga1.imgix.net/logo/o/100487-1413367192-268445?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/lattice.com,Customer lifecycle predictability ,,0,business-intelligence-analytics-software,predictive-analytics,https://www.getapp.com/business-intelligence-analytics-software/predictive-analytics/?page=2
